Year,Als,Auv,Aux,Bea,Bor,Bur,Cha1,Cha2,Gai,Ger,HLV,IdF,Jur,Lan,LLV,Lux,Mar,NIt,NLo,NRv,Sav,Spa,SLo,SRv,Swi,VSE,VPC,GHDmean,GHDcore
1475,,,,,,4.078666666666663,,,,,,,,,,,,,,,,,,-13.098630136986287,,,,-4.509981735159812,-4.509981735159812
1476,,,,,10.99333333333334,2.0786666666666633,,,,,,,,,,,,,,,,,,-17.3986301369863,,,,-1.4422100456620985,-1.4422100456620985
1477,,,,,,14.078666666666663,,,,,,,,,,,,,,,,,,,,,,14.078666666666663,14.078666666666663
1478,,,,,-1.0066666666666606,-7.921333333333337,,,,,,-5.499588477366274,,,,,,,,,,,,,,,,-4.809196159122091,-4.463999999999999
1479,,,,,,-10.921333333333337,,,,,,,,,,,,,,,,,,,,,,-10.921333333333337,-10.921333333333337
1480,,,,,,13.078666666666663,,,,,,,,,,,,,,,,,,,5.609634551494992,,,9.344150609080828,9.344150609080828
1481,,,,,,20.078666666666663,,,,,,,,,,,,,,,,,,,,,,20.078666666666663,20.078666666666663
1482,,,,,14.99333333333334,-10.921333333333337,,,,,,,,,,,,,,,,,,,,,,2.0360000000000014,2.0360000000000014
1483,,,,,-0.006666666666660603,-11.921333333333337,,,-16.399999999999977,,,,,,,,,,,,,,,,,,,-9.442666666666659,-5.963999999999999
1484,,,,,-11.00666666666666,-4.921333333333337,,,,,,9.500411522633726,,,,,,,,,,,,-17.598630136986316,,,,-6.006554653588147,-11.175543378995437
1485,,,,,26.99333333333334,17.078666666666663,,,15.600000000000023,,,-13.799588477366285,,,,,,,,,,,,,,,,11.468102880658435,22.036
1486,,,,,,-5.921333333333337,,,,,,-13.499588477366274,,,,,,,,,,,,,,,,-9.710460905349805,-5.921333333333337
1487,,,,,,-3.9213333333333367,,,,,,-3.4995884773662738,,,,,,,,,,,,,,,,-3.710460905349805,-3.9213333333333367
1488,,,,,,17.078666666666663,,,,,,17.400411522633703,,,,,,,,,,,,,,,,17.239539094650183,17.078666666666663
1489,,,,,,5.078666666666663,,,,,,-9.499588477366274,,,,,,,,,,,,,,,,-2.210460905349805,5.078666666666663
1490,,,,,,-0.9213333333333367,,,,,,-4.499588477366274,,,,,,,,,,,,,,,,-2.710460905349805,-0.9213333333333367
1491,,,,,,19.078666666666663,,,,,,20.500411522633726,,,,,,,,,,,,,,,,19.789539094650195,19.078666666666663
1492,,,,,,,,,-8.399999999999977,,,,-16.66180555555559,,,,,,,,,,,,,,,-12.530902777777783,
1493,,,,,,9.078666666666663,,,-5.399999999999977,,,2.5004115226337262,1.3381944444444116,,,,,,,,,,,,,,,1.879318158436206,9.078666666666663
1494,,,,,,-7.921333333333337,,,,,,,-17.66180555555559,,,,,,,,,,,,,,,-12.791569444444463,-7.921333333333337
1495,,,,,,-12.921333333333337,,,,,,,,,,,,,,,,,,,,,,-12.921333333333337,-12.921333333333337
1496,,,,,,15.078666666666663,,,,,,8.300411522633738,,,,,,,,,,,,,1.6096345514949917,,,8.329570913598465,8.344150609080828
1497,,,,,,13.078666666666663,,,,,,3.8004115226337376,,,,,,,,,,,,,-20.39036544850501,,,-1.1704290864015359,-3.6558493909191725
1498,,,,,,0.07866666666666333,,,,,,-9.499588477366274,,,,,,,,,,,,,-9.390365448505008,,,-6.270429086401539,-4.6558493909191725
1499,,,,,,2.0786666666666633,,,-0.39999999999997726,,,,,,,,,,,,,7.988950276243088,,,-8.390365448505008,,,0.3193128736011914,-3.1558493909191725
1500,,,,,,-12.921333333333337,,,,,,,,,,,-29.891891891891873,,,,,-1.011049723756912,,,,,,-14.608091649660707,-12.921333333333337
1501,,,,,,-7.921333333333337,,,-18.399999999999977,,,,,,,,,,,,,-4.011049723756912,,,,,,-10.110794352363408,-7.921333333333337
1502,,,,,,2.0786666666666633,,,,,,-13.399588477366308,,,,,-31.891891891891873,,,,,,,,-10.390365448505008,,,-13.400794787774132,-4.1558493909191725
1503,,,,,,1.0786666666666633,,,-7.399999999999977,,,-22.39958847736628,,,,,,,,,,-2.011049723756912,,,-26.39036544850501,,,-11.424467396592302,-12.655849390919172
1504,,,,,,-10.921333333333337,,,,,,,-19.66180555555559,,,,,,,,,-4.011049723756912,,,-15.390365448505008,,,-12.496138515287711,-13.155849390919172
1505,,,,,,16.078666666666663,,,,,,14.200411522633715,,,,,,,,,,,,,2.6096345514949917,,,10.96290424693179,9.344150609080828
1506,,,,,,1.0786666666666633,,,1.6000000000000227,,,-11.399588477366308,,,,,,,,,,6.988950276243088,,,-2.3903654485050083,,,-0.8244673965923084,-0.6558493909191725
1507,,,,,,-10.921333333333337,,,,,,-19.39958847736628,3.3381944444444116,,,,,,,,,,,,-17.39036544850501,,,-11.093273203690053,-14.155849390919172
1508,,,,,,4.078666666666663,,,,,,0.6004115226336921,5.338194444444412,,,,,,,,,12.988950276243088,,,,,,5.751555727496964,4.078666666666663
1509,,,,,,-6.921333333333337,,,,,,-8.399588477366308,,,,,,,,,,,,,-8.390365448505008,,,-7.903762419734885,-7.6558493909191725
1510,,,,,,3.0786666666666633,,,,,,-1.2995884773662851,,,,,,,,,,3.988950276243088,,,-8.390365448505008,,,-0.6555842457403855,-2.6558493909191725
1511,,,,,,17.078666666666663,,,,,,6.700411522633715,,,,,,,,,,-6.011049723756912,,,7.609634551494992,,,6.3444157542596145,12.344150609080828
1512,,,,,,-1.9213333333333367,,,-8.399999999999977,,,-11.399588477366308,,,,,,,,,,4.988950276243088,,,-9.390365448505008,,,-5.224467396592308,-5.6558493909191725
1513,,,,,,,,,,,,-9.399588477366308,,,,,,,,,,15.988950276243088,,,-8.390365448505008,,,-0.600334549876076,-8.390365448505008
1514,,,,,,6.078666666666663,,,,,,-17.39958847736628,,,,,,,,,,,,,-7.390365448505008,,,-6.237095753068208,-0.6558493909191725
1515,,,,,,8.078666666666663,,,,,,-15.399588477366308,,,,,,,,,,,,,2.6096345514949917,,,-1.5704290864015509,5.3441506090808275
1516,,,,,,-13.921333333333337,,,,,,-24.39958847736628,,,,,-30.891891891891873,,,,,,,,,,,-23.07093790086383,-13.921333333333337
1517,,,,,,-0.9213333333333367,,,-31.399999999999977,,,,,,,,-26.891891891891873,,,,,3.988950276243088,,,-19.39036544850501,,,-14.92292807949742,-10.155849390919172
1518,,,,,,-4.921333333333337,,,,,,-16.39958847736628,,,,,-19.891891891891873,,,,,,,,-8.390365448505008,,,-12.400794787774124,-6.6558493909191725
